Model,Train_RMSE,Val_RMSE,Train_MAE,Val_MAE,Train_R2,Val_R2
Linear Regression,21733.562251985313,20991.685652833374,14549.713906268305,14694.51109827767,0.08764574646381162,0.09183908942361907
Random Forest,5283.561908543256,5430.397673489241,2754.8121720712847,2916.1770106513945,0.9460793310792183,0.9392240934615715
XGBoost,7026.810684636286,6512.424596492015,3979.6683363331717,3986.469691941606,0.9046285959690163,0.9125915151507302
